학과,전공과목,이수구분,학년
,디지털지도,전선,2
,폐기물관리,전선,2
,연료및연소공학,전선,2
,디지털사진측정및실습,전필,3
,환경에너지,전필,3
,측지학,전선,3
,공간DBMS및실습,전선,3
,상수처리및수질분석실험,전선,3
,전공인턴십12,전선,3
,종합설계,전필,4
,환경기기분석및실험,전선,4
,환경에너지공간세미나,전선,4
,졸업연구및진로2,전선,4
회화과 [2511학부] 예체능대학,기초한국화2,전필,1
,기초회화2,전필,1
,동양미술사,전선,1
,드로잉,전선,1
,기초서양화2,전필,2
,한.표현기법,전필,2
,유화기법2,전선,2
,채색화,전선,2
,컴퓨터드로잉2,전선,2
,서양미술사2,전선,2
,공간연구2,전선,2
,유화2,전필,3
,한국화2,전필,3
,서예,전선,3
,판화2,전선,3
,서.복합매체기법,전선,3
,멀티미디어와회화2,전선,3
,미술교과교재연구및지도법,전선,3
,미술논리및논술,전선,3
,현대산수연구,전선,3
,서.종합실기2,전필,4
,한.종합실기2,전필,4
,졸업작품(P/NP),전필,4
,서.종합실기4,전선,4
,한.종합실기4,전선,4
,회화와일러스트레이션,전선,4
,멀티미디어와회화4,전선,4
